match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1492892,2025,2025-07-13,"TCA Oval, Blantyre",1,0.1,Bahrain,Tanzania,Asif Ali,P Kurup,K Juma,1,0,,,,,,,,,
1492892,2025,2025-07-13,"TCA Oval, Blantyre",1,0.2,Bahrain,Tanzania,P Kurup,Asif Ali,K Juma,0,0,,,,,,,,,
1492892,2025,2025-07-13,"TCA Oval, Blantyre",1,0.3,Bahrain,Tanzania,P Kurup,Asif Ali,K Juma,1,0,,,,,,,,,
1492892,2025,2025-07-13,"TCA Oval, Blantyre",1,0.4,Bahrain,Tanzania,Asif Ali,P Kurup,K Juma,4,0,,,,,,,,,
1492892,2025,2025-07-13,"TCA Oval, Blantyre",1,0.5,Bahrain,Tanzania,Asif Ali,P Kurup,K Juma,0,0,,,,,,,,,
1492892,2025,2025-07-13,"TCA Oval, Blantyre",1,0.6,Bahrain,Tanzania,Asif Ali,P Kurup,K Juma,1,0,,,,,,,,,
1492892,2025,2025-07-13,"TCA Oval, Blantyre",1,1.1,Bahrain,Tanzania,Asif Ali,P Kurup,SA Jumbe,0,0,,,,,,bowled,Asif Ali,,
1492892,2025,2025-07-13,"TCA Oval, Blantyre",1,1.2,Bahrain,Tanzania,Fiaz Ahmed,P Kurup,SA Jumbe,0,0,,,,,,caught and bowled,Fiaz Ahmed,,
1492892,2025,2025-07-13,"TCA Oval, Blantyre",1,1.3,Bahrain,Tanzania,Sohail Ahmed,P Kurup,SA Jumbe,0,0,,,,,,,,,
1492892,2025,2025-07-13,"TCA Oval, Blantyre",1,1.4,Bahrain,Tanzania,Sohail Ahmed,P Kurup,SA Jumbe,0,0,,,,,,,,,
1492892,2025,2025-07-13,"TCA Oval, Blantyre",1,1.5,Bahrain,Tanzania,Sohail Ahmed,P Kurup,SA Jumbe,0,0,,,,,,,,,
1492892,2025,2025-07-13,"TCA Oval, Blantyre",1,1.6,Bahrain,Tanzania,Sohail Ahmed,P Kurup,SA Jumbe,4,0,,,,,,,,,
1492892,2025,2025-07-13,"TCA Oval, Blantyre",1,2.1,Bahrain,Tanzania,P Kurup,Sohail Ahmed,K Juma,2,0,,,,,,,,,
1492892,2025,2025-07-13,"TCA Oval, Blantyre",1,2.2,Bahrain,Tanzania,P Kurup,Sohail Ahmed,K Juma,4,0,,,,,,,,,
1492892,2025,2025-07-13,"TCA Oval, Blantyre",1,2.3,Bahrain,Tanzania,P Kurup,Sohail Ahmed,K Juma,0,0,,,,,,,,,
1492892,2025,2025-07-13,"TCA Oval, Blantyre",1,2.4,Bahrain,Tanzania,P Kurup,Sohail Ahmed,K Juma,4,0,,,,,,,,,
1492892,2025,2025-07-13,"TCA Oval, Blantyre",1,2.5,Bahrain,Tanzania,P Kurup,Sohail Ahmed,K Juma,0,0,,,,,,,,,
1492892,2025,2025-07-13,"TCA Oval, Blantyre",1,2.6,Bahrain,Tanzania,P Kurup,Sohail Ahmed,K Juma,0,0,,,,,,,,,
1492892,2025,2025-07-13,"TCA Oval, Blantyre",1,3.1,Bahrain,Tanzania,Sohail Ahmed,P Kurup,SA Jumbe,1,0,,,,,,,,,
1492892,2025,2025-07-13,"TCA Oval, Blantyre",1,3.2,Bahrain,Tanzania,P Kurup,Sohail Ahmed,SA Jumbe,0,0,,,,,,,,,
1492892,2025,2025-07-13,"TCA Oval, Blantyre",1,3.3,Bahrain,Tanzania,P Kurup,Sohail Ahmed,SA Jumbe,0,0,,,,,,,,,
1492892,2025,2025-07-13,"TCA Oval, Blantyre",1,3.4,Bahrain,Tanzania,P Kurup,Sohail Ahmed,SA Jumbe,1,0,,,,,,,,,
1492892,2025,2025-07-13,"TCA Oval, Blantyre",1,3.5,Bahrain,Tanzania,Sohail Ahmed,P Kurup,SA Jumbe,0,0,,,,,,,,,
1492892,2025,2025-07-13,"TCA Oval, Blantyre",1,3.6,Bahrain,Tanzania,Sohail Ahmed,P Kurup,SA Jumbe,0,0,,,,,,,,,
1492892,2025,2025-07-13,"TCA Oval, Blantyre",1,4.1,Bahrain,Tanzania,P Kurup,Sohail Ahmed,AM Kimote,0,0,,,,,,bowled,P Kurup,,
1492892,2025,2025-07-13,"TCA Oval, Blantyre",1,4.2,Bahrain,Tanzania,Ahmer Bin Nisar,Sohail Ahmed,AM Kimote,1,0,,,,,,,,,
