match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1496926,2025,2025-09-15,"Zayed Cricket Stadium, Abu Dhabi",1,0.1,United Arab Emirates,Oman,A Sharafu,Waseem Muhammad,Shakeel Ahmed,0,0,,,,,,,,,
1496926,2025,2025-09-15,"Zayed Cricket Stadium, Abu Dhabi",1,0.2,United Arab Emirates,Oman,A Sharafu,Waseem Muhammad,Shakeel Ahmed,0,0,,,,,,,,,
1496926,2025,2025-09-15,"Zayed Cricket Stadium, Abu Dhabi",1,0.3,United Arab Emirates,Oman,A Sharafu,Waseem Muhammad,Shakeel Ahmed,0,0,,,,,,,,,
1496926,2025,2025-09-15,"Zayed Cricket Stadium, Abu Dhabi",1,0.4,United Arab Emirates,Oman,A Sharafu,Waseem Muhammad,Shakeel Ahmed,1,0,,,,,,,,,
1496926,2025,2025-09-15,"Zayed Cricket Stadium, Abu Dhabi",1,0.5,United Arab Emirates,Oman,Waseem Muhammad,A Sharafu,Shakeel Ahmed,0,0,,,,,,,,,
1496926,2025,2025-09-15,"Zayed Cricket Stadium, Abu Dhabi",1,0.6,United Arab Emirates,Oman,Waseem Muhammad,A Sharafu,Shakeel Ahmed,0,0,,,,,,,,,
1496926,2025,2025-09-15,"Zayed Cricket Stadium, Abu Dhabi",1,1.1,United Arab Emirates,Oman,A Sharafu,Waseem Muhammad,Shah Faisal,4,0,,,,,,,,,
1496926,2025,2025-09-15,"Zayed Cricket Stadium, Abu Dhabi",1,1.2,United Arab Emirates,Oman,A Sharafu,Waseem Muhammad,Shah Faisal,1,0,,,,,,,,,
1496926,2025,2025-09-15,"Zayed Cricket Stadium, Abu Dhabi",1,1.3,United Arab Emirates,Oman,Waseem Muhammad,A Sharafu,Shah Faisal,0,0,,,,,,,,,
1496926,2025,2025-09-15,"Zayed Cricket Stadium, Abu Dhabi",1,1.4,United Arab Emirates,Oman,Waseem Muhammad,A Sharafu,Shah Faisal,0,0,,,,,,,,,
1496926,2025,2025-09-15,"Zayed Cricket Stadium, Abu Dhabi",1,1.5,United Arab Emirates,Oman,Waseem Muhammad,A Sharafu,Shah Faisal,2,0,,,,,,,,,
1496926,2025,2025-09-15,"Zayed Cricket Stadium, Abu Dhabi",1,1.6,United Arab Emirates,Oman,Waseem Muhammad,A Sharafu,Shah Faisal,0,0,,,,,,,,,
1496926,2025,2025-09-15,"Zayed Cricket Stadium, Abu Dhabi",1,2.1,United Arab Emirates,Oman,A Sharafu,Waseem Muhammad,Shakeel Ahmed,0,0,,,,,,,,,
1496926,2025,2025-09-15,"Zayed Cricket Stadium, Abu Dhabi",1,2.2,United Arab Emirates,Oman,A Sharafu,Waseem Muhammad,Shakeel Ahmed,0,0,,,,,,,,,
1496926,2025,2025-09-15,"Zayed Cricket Stadium, Abu Dhabi",1,2.3,United Arab Emirates,Oman,A Sharafu,Waseem Muhammad,Shakeel Ahmed,1,0,,,,,,,,,
1496926,2025,2025-09-15,"Zayed Cricket Stadium, Abu Dhabi",1,2.4,United Arab Emirates,Oman,Waseem Muhammad,A Sharafu,Shakeel Ahmed,0,0,,,,,,,,,
1496926,2025,2025-09-15,"Zayed Cricket Stadium, Abu Dhabi",1,2.5,United Arab Emirates,Oman,Waseem Muhammad,A Sharafu,Shakeel Ahmed,1,0,,,,,,,,,
1496926,2025,2025-09-15,"Zayed Cricket Stadium, Abu Dhabi",1,2.6,United Arab Emirates,Oman,A Sharafu,Waseem Muhammad,Shakeel Ahmed,1,0,,,,,,,,,
1496926,2025,2025-09-15,"Zayed Cricket Stadium, Abu Dhabi",1,3.1,United Arab Emirates,Oman,A Sharafu,Waseem Muhammad,Shah Faisal,0,1,1,,,,,,,,
1496926,2025,2025-09-15,"Zayed Cricket Stadium, Abu Dhabi",1,3.2,United Arab Emirates,Oman,A Sharafu,Waseem Muhammad,Shah Faisal,1,0,,,,,,,,,
1496926,2025,2025-09-15,"Zayed Cricket Stadium, Abu Dhabi",1,3.3,United Arab Emirates,Oman,Waseem Muhammad,A Sharafu,Shah Faisal,0,1,1,,,,,,,,
1496926,2025,2025-09-15,"Zayed Cricket Stadium, Abu Dhabi",1,3.4,United Arab Emirates,Oman,Waseem Muhammad,A Sharafu,Shah Faisal,0,1,,,,1,,,,,
1496926,2025,2025-09-15,"Zayed Cricket Stadium, Abu Dhabi",1,3.5,United Arab Emirates,Oman,A Sharafu,Waseem Muhammad,Shah Faisal,4,0,,,,,,,,,
1496926,2025,2025-09-15,"Zayed Cricket Stadium, Abu Dhabi",1,3.6,United Arab Emirates,Oman,A Sharafu,Waseem Muhammad,Shah Faisal,0,0,,,,,,,,,
1496926,2025,2025-09-15,"Zayed Cricket Stadium, Abu Dhabi",1,3.7,United Arab Emirates,Oman,A Sharafu,Waseem Muhammad,Shah Faisal,0,0,,,,,,,,,
1496926,2025,2025-09-15,"Zayed Cricket Stadium, Abu Dhabi",1,3.8,United Arab Emirates,Oman,A Sharafu,Waseem Muhammad,Shah Faisal,4,0,,,,,,,,,
1496926,2025,2025-09-15,"Zayed Cricket Stadium, Abu Dhabi",1,4.1,United Arab Emirates,Oman,Waseem Muhammad,A Sharafu,Aamir Kaleem,4,0,,,,,,,,,
1496926,2025,2025-09-15,"Zayed Cricket Stadium, Abu Dhabi",1,4.2,United Arab Emirates,Oman,Waseem Muhammad,A Sharafu,Aamir Kaleem,0,0,,,,,,,,,
1496926,2025,2025-09-15,"Zayed Cricket Stadium, Abu Dhabi",1,4.3,United Arab Emirates,Oman,Waseem Muhammad,A Sharafu,Aamir Kaleem,4,0,,,,,,,,,
1496926,2025,2025-09-15,"Zayed Cricket Stadium, Abu Dhabi",1,4.4,United Arab Emirates,Oman,Waseem Muhammad,A Sharafu,Aamir Kaleem,4,0,,,,,,,,,
1496926,2025,2025-09-15,"Zayed Cricket Stadium, Abu Dhabi",1,4.5,United Arab Emirates,Oman,Waseem Muhammad,A Sharafu,Aamir Kaleem,1,0,,,,,,,,,
1496926,2025,2025-09-15,"Zayed Cricket Stadium, Abu Dhabi",1,4.6,United Arab Emirates,Oman,A Sharafu,Waseem Muhammad,Aamir Kaleem,1,0,,,,,,,,,
1496926,2025,2025-09-15,"Zayed Cricket Stadium, Abu Dhabi",1,5.1,United Arab Emirates,Oman,A Sharafu,Waseem Muhammad,Hassnain Shah,0,0,,,,,,,,,
1496926,2025,2025-09-15,"Zayed Cricket Stadium, Abu Dhabi",1,5.2,United Arab Emirates,Oman,A Sharafu,Waseem Muhammad,Hassnain Shah,0,0,,,,,,,,,
1496926,2025,2025-09-15,"Zayed Cricket Stadium, Abu Dhabi",1,5.3,United Arab Emirates,Oman,A Sharafu,Waseem Muhammad,Hassnain Shah,4,0,,,,,,,,,
1496926,2025,2025-09-15,"Zayed Cricket Stadium, Abu Dhabi",1,5.4,United Arab Emirates,Oman,A Sharafu,Waseem Muhammad,Hassnain Shah,4,0,,,,,,,,,
1496926,2025,2025-09-15,"Zayed Cricket Stadium, Abu Dhabi",1,5.5,United Arab Emirates,Oman,A Sharafu,Waseem Muhammad,Hassnain Shah,4,0,,,,,,,,,
1496926,2025,2025-09-15,"Zayed Cricket Stadium, Abu Dhabi",1,5.6,United Arab Emirates,Oman,A Sharafu,Waseem Muhammad,Hassnain Shah,1,0,,,,,,,,,
1496926,2025,2025-09-15,"Zayed Cricket Stadium, Abu Dhabi",1,6.1,United Arab Emirates,Oman,A Sharafu,Waseem Muhammad,J Ramanandi,1,0,,,,,,,,,
1496926,2025,2025-09-15,"Zayed Cricket Stadium, Abu Dhabi",1,6.2,United Arab Emirates,Oman,Waseem Muhammad,A Sharafu,J Ramanandi,0,0,,,,,,,,,
1496926,2025,2025-09-15,"Zayed Cricket Stadium, Abu Dhabi",1,6.3,United Arab Emirates,Oman,Waseem Muhammad,A Sharafu,J Ramanandi,1,0,,,,,,,,,
1496926,2025,2025-09-15,"Zayed Cricket Stadium, Abu Dhabi",1,6.4,United Arab Emirates,Oman,A Sharafu,Waseem Muhammad,J Ramanandi,0,0,,,,,,,,,
1496926,2025,2025-09-15,"Zayed Cricket Stadium, Abu Dhabi",1,6.5,United Arab Emirates,Oman,A Sharafu,Waseem Muhammad,J Ramanandi,4,0,,,,,,,,,
1496926,2025,2025-09-15,"Zayed Cricket Stadium, Abu Dhabi",1,6.6,United Arab Emirates,Oman,A Sharafu,Waseem Muhammad,J Ramanandi,0,0,,,,,,,,,
1496926,2025,2025-09-15,"Zayed Cricket Stadium, Abu Dhabi",1,7.1,United Arab Emirates,Oman,Waseem Muhammad,A Sharafu,S Shrivastava,1,0,,,,,,,,,
1496926,2025,2025-09-15,"Zayed Cricket Stadium, Abu Dhabi",1,7.2,United Arab Emirates,Oman,A Sharafu,Waseem Muhammad,S Shrivastava,0,0,,,,,,,,,
1496926,2025,2025-09-15,"Zayed Cricket Stadium, Abu Dhabi",1,7.3,United Arab Emirates,Oman,A Sharafu,Waseem Muhammad,S Shrivastava,6,0,,,,,,,,,
1496926,2025,2025-09-15,"Zayed Cricket Stadium, Abu Dhabi",1,7.4,United Arab Emirates,Oman,A Sharafu,Waseem Muhammad,S Shrivastava,1,0,,,,,,,,,
1496926,2025,2025-09-15,"Zayed Cricket Stadium, Abu Dhabi",1,7.5,United Arab Emirates,Oman,Waseem Muhammad,A Sharafu,S Shrivastava,6,0,,,,,,,,,
1496926,2025,2025-09-15,"Zayed Cricket Stadium, Abu Dhabi",1,7.6,United Arab Emirates,Oman,Waseem Muhammad,A Sharafu,S Shrivastava,1,0,,,,,,,,,
1496926,2025,2025-09-15,"Zayed Cricket Stadium, Abu Dhabi",1,8.1,United Arab Emirates,Oman,Waseem Muhammad,A Sharafu,J Ramanandi,1,0,,,,,,,,,
1496926,2025,2025-09-15,"Zayed Cricket Stadium, Abu Dhabi",1,8.2,United Arab Emirates,Oman,A Sharafu,Waseem Muhammad,J Ramanandi,0,0,,,,,,,,,
1496926,2025,2025-09-15,"Zayed Cricket Stadium, Abu Dhabi",1,8.3,United Arab Emirates,Oman,A Sharafu,Waseem Muhammad,J Ramanandi,1,0,,,,,,,,,
1496926,2025,2025-09-15,"Zayed Cricket Stadium, Abu Dhabi",1,8.4,United Arab Emirates,Oman,Waseem Muhammad,A Sharafu,J Ramanandi,0,0,,,,,,,,,
1496926,2025,2025-09-15,"Zayed Cricket Stadium, Abu Dhabi",1,8.5,United Arab Emirates,Oman,Waseem Muhammad,A Sharafu,J Ramanandi,1,0,,,,,,,,,
1496926,2025,2025-09-15,"Zayed Cricket Stadium, Abu Dhabi",1,8.6,United Arab Emirates,Oman,A Sharafu,Waseem Muhammad,J Ramanandi,1,0,,,,,,,,,
1496926,2025,2025-09-15,"Zayed Cricket Stadium, Abu Dhabi",1,9.1,United Arab Emirates,Oman,A Sharafu,Waseem Muhammad,S Shrivastava,1,0,,,,,,,,,
1496926,2025,2025-09-15,"Zayed Cricket Stadium, Abu Dhabi",1,9.2,United Arab Emirates,Oman,Waseem Muhammad,A Sharafu,S Shrivastava,4,0,,,,,,,,,
1496926,2025,2025-09-15,"Zayed Cricket Stadium, Abu Dhabi",1,9.3,United Arab Emirates,Oman,Waseem Muhammad,A Sharafu,S Shrivastava,0,0,,,,,,,,,
1496926,2025,2025-09-15,"Zayed Cricket Stadium, Abu Dhabi",1,9.4,United Arab Emirates,Oman,Waseem Muhammad,A Sharafu,S Shrivastava,1,0,,,,,,,,,
