match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1482097,2025,2025-04-29,"Bayuemas Oval, Kuala Lumpur",1,0.1,Singapore,Saudi Arabia,Aritra Dutta,JS Iggo,Ishtiaq Ahmad,0,1,1,,,,,,,,
1482097,2025,2025-04-29,"Bayuemas Oval, Kuala Lumpur",1,0.2,Singapore,Saudi Arabia,Aritra Dutta,JS Iggo,Ishtiaq Ahmad,0,0,,,,,,,,,
1482097,2025,2025-04-29,"Bayuemas Oval, Kuala Lumpur",1,0.3,Singapore,Saudi Arabia,Aritra Dutta,JS Iggo,Ishtiaq Ahmad,0,0,,,,,,,,,
1482097,2025,2025-04-29,"Bayuemas Oval, Kuala Lumpur",1,0.4,Singapore,Saudi Arabia,Aritra Dutta,JS Iggo,Ishtiaq Ahmad,1,0,,,,,,,,,
1482097,2025,2025-04-29,"Bayuemas Oval, Kuala Lumpur",1,0.5,Singapore,Saudi Arabia,JS Iggo,Aritra Dutta,Ishtiaq Ahmad,0,1,1,,,,,,,,
1482097,2025,2025-04-29,"Bayuemas Oval, Kuala Lumpur",1,0.6,Singapore,Saudi Arabia,JS Iggo,Aritra Dutta,Ishtiaq Ahmad,0,0,,,,,,caught,JS Iggo,,
1482097,2025,2025-04-29,"Bayuemas Oval, Kuala Lumpur",1,0.7,Singapore,Saudi Arabia,G Gune,Aritra Dutta,Ishtiaq Ahmad,0,0,,,,,,,,,
1482097,2025,2025-04-29,"Bayuemas Oval, Kuala Lumpur",1,0.8,Singapore,Saudi Arabia,G Gune,Aritra Dutta,Ishtiaq Ahmad,0,0,,,,,,,,,
1482097,2025,2025-04-29,"Bayuemas Oval, Kuala Lumpur",1,1.1,Singapore,Saudi Arabia,Aritra Dutta,G Gune,Usman Najeeb,0,1,1,,,,,,,,
1482097,2025,2025-04-29,"Bayuemas Oval, Kuala Lumpur",1,1.2,Singapore,Saudi Arabia,Aritra Dutta,G Gune,Usman Najeeb,0,0,,,,,,,,,
1482097,2025,2025-04-29,"Bayuemas Oval, Kuala Lumpur",1,1.3,Singapore,Saudi Arabia,Aritra Dutta,G Gune,Usman Najeeb,0,0,,,,,,,,,
1482097,2025,2025-04-29,"Bayuemas Oval, Kuala Lumpur",1,1.4,Singapore,Saudi Arabia,Aritra Dutta,G Gune,Usman Najeeb,0,1,1,,,,,,,,
1482097,2025,2025-04-29,"Bayuemas Oval, Kuala Lumpur",1,1.5,Singapore,Saudi Arabia,Aritra Dutta,G Gune,Usman Najeeb,0,0,,,,,,,,,
1482097,2025,2025-04-29,"Bayuemas Oval, Kuala Lumpur",1,1.6,Singapore,Saudi Arabia,Aritra Dutta,G Gune,Usman Najeeb,0,0,,,,,,,,,
1482097,2025,2025-04-29,"Bayuemas Oval, Kuala Lumpur",1,1.7,Singapore,Saudi Arabia,Aritra Dutta,G Gune,Usman Najeeb,0,0,,,,,,caught,Aritra Dutta,,
1482097,2025,2025-04-29,"Bayuemas Oval, Kuala Lumpur",1,1.8,Singapore,Saudi Arabia,C Sridev,G Gune,Usman Najeeb,0,1,1,,,,,,,,
1482097,2025,2025-04-29,"Bayuemas Oval, Kuala Lumpur",1,1.9,Singapore,Saudi Arabia,C Sridev,G Gune,Usman Najeeb,0,1,1,,,,,,,,
1482097,2025,2025-04-29,"Bayuemas Oval, Kuala Lumpur",1,1.10,Singapore,Saudi Arabia,C Sridev,G Gune,Usman Najeeb,1,0,,,,,,,,,
1482097,2025,2025-04-29,"Bayuemas Oval, Kuala Lumpur",1,2.1,Singapore,Saudi Arabia,C Sridev,G Gune,Ishtiaq Ahmad,0,0,,,,,,,,,
1482097,2025,2025-04-29,"Bayuemas Oval, Kuala Lumpur",1,2.2,Singapore,Saudi Arabia,C Sridev,G Gune,Ishtiaq Ahmad,0,0,,,,,,,,,
1482097,2025,2025-04-29,"Bayuemas Oval, Kuala Lumpur",1,2.3,Singapore,Saudi Arabia,C Sridev,G Gune,Ishtiaq Ahmad,0,1,1,,,,,,,,
1482097,2025,2025-04-29,"Bayuemas Oval, Kuala Lumpur",1,2.4,Singapore,Saudi Arabia,C Sridev,G Gune,Ishtiaq Ahmad,0,0,,,,,,,,,
1482097,2025,2025-04-29,"Bayuemas Oval, Kuala Lumpur",1,2.5,Singapore,Saudi Arabia,C Sridev,G Gune,Ishtiaq Ahmad,0,1,1,,,,,,,,
1482097,2025,2025-04-29,"Bayuemas Oval, Kuala Lumpur",1,2.6,Singapore,Saudi Arabia,C Sridev,G Gune,Ishtiaq Ahmad,0,0,,,,,,,,,
1482097,2025,2025-04-29,"Bayuemas Oval, Kuala Lumpur",1,2.7,Singapore,Saudi Arabia,C Sridev,G Gune,Ishtiaq Ahmad,2,0,,,,,,,,,
1482097,2025,2025-04-29,"Bayuemas Oval, Kuala Lumpur",1,2.8,Singapore,Saudi Arabia,C Sridev,G Gune,Ishtiaq Ahmad,0,0,,,,,,,,,
1482097,2025,2025-04-29,"Bayuemas Oval, Kuala Lumpur",1,3.1,Singapore,Saudi Arabia,G Gune,C Sridev,Usman Najeeb,1,0,,,,,,,,,
1482097,2025,2025-04-29,"Bayuemas Oval, Kuala Lumpur",1,3.2,Singapore,Saudi Arabia,C Sridev,G Gune,Usman Najeeb,0,0,,,,,,,,,
1482097,2025,2025-04-29,"Bayuemas Oval, Kuala Lumpur",1,3.3,Singapore,Saudi Arabia,C Sridev,G Gune,Usman Najeeb,0,0,,,,,,,,,
1482097,2025,2025-04-29,"Bayuemas Oval, Kuala Lumpur",1,3.4,Singapore,Saudi Arabia,C Sridev,G Gune,Usman Najeeb,4,0,,,,,,,,,
1482097,2025,2025-04-29,"Bayuemas Oval, Kuala Lumpur",1,3.5,Singapore,Saudi Arabia,C Sridev,G Gune,Usman Najeeb,0,1,1,,,,,,,,
1482097,2025,2025-04-29,"Bayuemas Oval, Kuala Lumpur",1,3.6,Singapore,Saudi Arabia,C Sridev,G Gune,Usman Najeeb,0,0,,,,,,,,,
1482097,2025,2025-04-29,"Bayuemas Oval, Kuala Lumpur",1,3.7,Singapore,Saudi Arabia,C Sridev,G Gune,Usman Najeeb,1,0,,,,,,,,,
1482097,2025,2025-04-29,"Bayuemas Oval, Kuala Lumpur",1,4.1,Singapore,Saudi Arabia,C Sridev,G Gune,Ghayour Ahmad,0,0,,,,,,,,,
1482097,2025,2025-04-29,"Bayuemas Oval, Kuala Lumpur",1,4.2,Singapore,Saudi Arabia,C Sridev,G Gune,Ghayour Ahmad,0,0,,,,,,,,,
1482097,2025,2025-04-29,"Bayuemas Oval, Kuala Lumpur",1,4.3,Singapore,Saudi Arabia,C Sridev,G Gune,Ghayour Ahmad,0,1,1,,,,,,,,
1482097,2025,2025-04-29,"Bayuemas Oval, Kuala Lumpur",1,4.4,Singapore,Saudi Arabia,C Sridev,G Gune,Ghayour Ahmad,0,0,,,,,,,,,
1482097,2025,2025-04-29,"Bayuemas Oval, Kuala Lumpur",1,4.5,Singapore,Saudi Arabia,C Sridev,G Gune,Ghayour Ahmad,1,0,,,,,,,,,
1482097,2025,2025-04-29,"Bayuemas Oval, Kuala Lumpur",1,4.6,Singapore,Saudi Arabia,G Gune,C Sridev,Ghayour Ahmad,0,0,,,,,,,,,
1482097,2025,2025-04-29,"Bayuemas Oval, Kuala Lumpur",1,4.7,Singapore,Saudi Arabia,G Gune,C Sridev,Ghayour Ahmad,0,0,,,,,,,,,
1482097,2025,2025-04-29,"Bayuemas Oval, Kuala Lumpur",1,5.1,Singapore,Saudi Arabia,C Sridev,G Gune,Usman Khalid,2,0,,,,,,,,,
1482097,2025,2025-04-29,"Bayuemas Oval, Kuala Lumpur",1,5.2,Singapore,Saudi Arabia,C Sridev,G Gune,Usman Khalid,1,0,,,,,,,,,
1482097,2025,2025-04-29,"Bayuemas Oval, Kuala Lumpur",1,5.3,Singapore,Saudi Arabia,G Gune,C Sridev,Usman Khalid,0,0,,,,,,caught,G Gune,,
1482097,2025,2025-04-29,"Bayuemas Oval, Kuala Lumpur",1,5.4,Singapore,Saudi Arabia,Manpreet Singh,C Sridev,Usman Khalid,0,0,,,,,,,,,
1482097,2025,2025-04-29,"Bayuemas Oval, Kuala Lumpur",1,5.5,Singapore,Saudi Arabia,Manpreet Singh,C Sridev,Usman Khalid,1,0,,,,,,,,,
1482097,2025,2025-04-29,"Bayuemas Oval, Kuala Lumpur",1,5.6,Singapore,Saudi Arabia,C Sridev,Manpreet Singh,Usman Khalid,0,0,,,,,,,,,
1482097,2025,2025-04-29,"Bayuemas Oval, Kuala Lumpur",1,6.1,Singapore,Saudi Arabia,Manpreet Singh,C Sridev,Ghayour Ahmad,1,0,,,,,,,,,
1482097,2025,2025-04-29,"Bayuemas Oval, Kuala Lumpur",1,6.2,Singapore,Saudi Arabia,C Sridev,Manpreet Singh,Ghayour Ahmad,1,0,,,,,,,,,
1482097,2025,2025-04-29,"Bayuemas Oval, Kuala Lumpur",1,6.3,Singapore,Saudi Arabia,Manpreet Singh,C Sridev,Ghayour Ahmad,1,0,,,,,,,,,
1482097,2025,2025-04-29,"Bayuemas Oval, Kuala Lumpur",1,6.4,Singapore,Saudi Arabia,C Sridev,Manpreet Singh,Ghayour Ahmad,0,0,,,,,,,,,
1482097,2025,2025-04-29,"Bayuemas Oval, Kuala Lumpur",1,6.5,Singapore,Saudi Arabia,C Sridev,Manpreet Singh,Ghayour Ahmad,1,0,,,,,,,,,
1482097,2025,2025-04-29,"Bayuemas Oval, Kuala Lumpur",1,6.6,Singapore,Saudi Arabia,Manpreet Singh,C Sridev,Ghayour Ahmad,0,0,,,,,,,,,
1482097,2025,2025-04-29,"Bayuemas Oval, Kuala Lumpur",1,7.1,Singapore,Saudi Arabia,C Sridev,Manpreet Singh,Usman Khalid,0,0,,,,,,,,,
